user_id,label,Account type,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Savings type,Length of current employment,Instalment per cent,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
396944,0,2,48,4,2,5096,1,3,2,2,1,3,3,30,3,2,1,4,1,2,1
407505,0,1,24,2,0,2303,1,5,4,3,2,1,1,45,3,2,1,3,1,1,1
179173,1,2,18,2,3,1301,1,5,4,4,3,2,1,32,3,2,1,2,1,1,1
738882,1,4,12,4,6,2096,1,4,2,3,1,3,1,49,3,2,1,2,2,1,1
224135,1,4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,1,1,1
410762,1,1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,1,1,1
429553,1,2,13,2,3,2101,1,2,2,2,3,4,2,23,3,2,1,2,1,1,1
199561,1,2,12,2,0,6078,1,4,2,3,1,2,3,32,3,2,1,3,1,1,1
327301,1,4,18,2,3,1505,1,3,4,3,1,2,4,32,3,3,1,4,1,2,1
109545,1,4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,1,2,1
792405,1,1,48,2,1,4788,1,4,4,3,1,3,2,26,3,2,1,3,2,1,1
707883,1,3,12,2,2,2251,1,3,1,2,1,2,3,46,3,2,1,2,1,1,1
273056,1,2,27,3,1,5965,1,5,1,3,1,2,3,30,3,2,2,4,1,2,1
237255,1,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,1,1,1
54102,1,4,24,2,1,3488,2,4,3,2,1,4,3,23,3,2,1,3,1,1,1
495475,1,4,18,4,3,1149,4,3,4,3,1,3,1,46,3,2,2,3,1,1,1
764262,1,1,36,4,2,2348,1,3,3,4,1,2,2,46,3,2,2,3,1,2,1
365191,1,4,18,4,3,2238,1,3,2,2,1,1,3,25,3,2,2,3,1,1,1
716374,0,3,18,2,2,2864,1,3,2,3,1,1,1,34,3,2,1,2,2,1,1
584758,1,1,24,2,2,4020,1,3,2,3,1,2,3,27,2,2,1,3,1,1,1
586266,1,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,1,1,1
635426,0,1,21,3,6,3414,1,2,2,3,1,1,2,26,2,2,2,3,1,1,1
97299,1,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,2,1,2
752199,1,1,27,4,9,2442,1,5,4,3,1,4,3,43,2,2,4,4,2,2,1
349090,1,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,1,2,1
101464,1,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1
676122,1,4,12,2,3,2073,2,3,4,2,2,2,1,28,3,2,1,3,1,1,1
64738,1,2,18,2,3,1113,1,3,4,2,3,4,1,26,3,2,1,2,2,1,1
608417,1,2,18,2,2,3001,1,4,2,2,1,4,1,40,3,1,1,3,1,1,1
76533,1,1,12,2,0,1168,1,3,4,4,1,3,1,27,3,2,1,2,1,1,1
631901,1,2,6,3,2,1050,1,1,4,3,1,1,2,35,2,2,2,4,1,2,2
472286,0,4,24,3,9,8648,1,2,2,3,1,2,3,27,1,2,2,3,1,2,1
394434,1,4,15,4,3,1829,1,5,4,3,1,4,3,46,3,2,2,3,1,2,1
298055,0,2,30,0,9,4280,2,3,4,2,1,4,3,26,3,1,2,2,1,1,1
382907,1,4,15,2,4,1262,3,4,4,3,1,3,2,36,3,2,2,3,1,2,1
45800,0,4,12,2,2,1123,3,3,4,2,1,4,3,29,3,1,1,2,1,1,1
75684,1,3,12,3,0,2247,1,3,2,2,1,2,3,36,2,2,2,3,1,2,1
389049,0,1,12,4,2,2246,1,5,3,3,1,3,2,60,3,2,2,3,1,1,1
78091,1,4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,1,1,1
186803,1,4,21,3,1,2993,1,3,3,3,1,2,1,28,2,2,2,2,1,1,1
241334,1,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,1,2,1
720411,0,4,18,2,3,433,1,1,3,2,2,4,1,22,3,1,1,3,1,1,1
640765,1,2,48,0,9,12204,5,3,2,3,1,2,3,48,1,2,1,4,1,2,1
489531,1,4,24,2,3,3181,1,2,4,2,1,4,2,26,3,2,1,3,1,2,1
697600,0,2,60,2,0,7408,2,2,4,2,1,2,2,24,3,2,1,4,1,1,1
708674,1,4,15,4,3,1471,1,3,4,3,1,4,4,35,3,3,2,3,1,2,1
512081,1,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,1,1,1
501203,1,1,6,2,2,1374,1,3,1,3,1,2,1,36,1,2,1,2,1,2,1
225988,1,2,9,2,3,2118,1,3,2,3,1,2,1,37,3,2,1,2,2,1,1
90676,1,2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,1,2,1
585336,1,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,1,1,1
311255,0,2,9,1,0,1437,2,4,2,3,1,3,4,29,3,2,1,3,1,1,1
493932,1,2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,1,1,1,1
637426,0,4,48,4,0,10127,3,3,2,3,1,2,4,44,3,3,1,3,1,1,1
570705,1,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1
597340,0,4,30,1,1,7485,5,1,4,2,1,1,1,53,1,2,1,4,1,2,1
53384,1,2,9,2,0,3195,5,3,1,2,1,2,1,33,3,2,1,2,1,1,1
551856,1,1,24,1,0,2325,2,4,2,3,1,3,3,32,1,2,1,3,1,1,1
617637,0,1,42,3,3,4370,1,4,3,3,1,2,2,26,1,2,2,3,2,2,1
495232,0,2,45,4,3,4746,1,2,4,3,1,2,2,24,1,2,2,2,1,1,1
427653,1,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,1,2,1
720201,0,2,48,2,0,6560,2,4,3,3,1,2,2,24,3,2,1,3,1,1,1
771413,0,3,18,2,3,2100,1,3,4,3,2,2,1,37,3,2,1,3,1,1,1
291662,1,4,12,4,0,1255,1,5,4,3,1,4,1,61,3,2,2,2,1,1,1
142763,0,4,18,1,0,6458,1,5,2,3,1,4,4,39,1,2,2,4,2,2,1
26986,1,4,42,2,3,7166,5,4,2,4,1,4,2,29,3,1,1,3,1,2,1
149932,1,3,6,4,0,1343,1,5,1,3,1,4,1,46,3,2,2,3,2,1,2
174350,1,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,1,1,1
396357,0,1,24,1,9,3161,1,3,4,3,1,2,2,31,1,1,1,3,1,2,1
299392,1,1,15,4,2,975,1,3,2,1,1,3,2,25,3,2,2,3,1,1,1
454589,1,2,12,2,0,7472,5,1,1,2,1,2,1,24,3,1,1,1,1,1,1
415135,1,4,24,4,0,2463,2,4,4,4,1,3,2,27,3,2,2,3,1,2,1
369003,0,2,18,4,3,1245,1,3,4,4,1,2,3,33,3,2,1,3,1,1,1
675060,1,1,24,4,3,1231,4,5,4,2,1,4,2,57,3,1,2,4,1,2,1
773572,0,4,48,4,1,11590,2,3,2,2,1,4,3,24,3,1,2,2,1,1,1
466389,1,1,27,2,3,3416,1,3,3,3,1,2,3,27,3,2,1,4,1,1,1
82766,1,1,6,2,4,343,1,2,4,2,1,1,1,27,3,2,1,3,1,1,1
221540,0,3,9,2,3,745,1,3,3,2,1,2,1,28,3,2,1,2,1,1,1
157155,1,2,8,2,9,907,1,2,3,4,1,2,1,26,3,2,1,3,1,2,1
391375,0,4,12,4,9,2292,1,1,4,3,1,2,3,42,2,2,2,4,1,2,1
490927,1,1,12,2,0,1893,1,3,4,2,3,4,2,29,3,2,1,3,1,2,1
734246,1,4,36,4,1,11054,5,3,4,3,1,2,3,30,3,2,1,4,1,2,1
1169,0,3,10,2,0,1240,2,5,1,2,1,4,4,48,3,3,1,2,2,1,1
176916,1,4,24,2,1,2670,1,5,4,3,1,4,3,35,3,2,1,4,1,2,1
616715,1,2,18,4,9,1887,5,3,4,4,1,4,1,28,1,2,2,3,1,1,1
544445,0,1,24,2,0,915,5,5,4,2,1,2,3,29,1,2,1,3,1,1,1
158795,1,4,12,4,3,976,5,5,4,3,1,4,3,35,3,2,2,3,1,1,1
313999,1,4,6,1,0,783,5,3,1,3,3,2,1,26,2,2,1,2,2,1,1
427472,1,4,60,4,0,13756,5,5,2,3,1,4,4,63,1,3,1,4,1,2,1
129596,1,1,6,2,1,1352,3,1,1,2,1,2,2,23,3,1,1,1,1,2,1
234909,1,4,12,0,2,2759,1,5,2,3,1,4,2,34,3,2,2,3,1,1,1
199829,1,4,24,2,3,999,5,5,4,3,1,2,3,25,3,2,2,3,1,1,1
320264,1,2,45,4,1,4576,2,1,3,3,1,4,3,27,3,2,1,3,1,1,1
255337,0,1,48,4,1,6143,1,5,4,2,1,4,4,58,2,3,2,2,1,1,1
625747,1,1,12,4,0,2121,1,3,4,3,1,2,2,30,3,2,2,3,1,1,1
153211,0,1,24,1,2,6872,1,2,2,1,1,1,2,55,1,2,1,3,1,2,1
552260,1,4,12,2,3,886,5,3,4,2,1,2,3,21,3,2,1,3,1,1,1
739511,1,2,18,2,9,4439,1,5,1,3,2,1,1,33,1,2,1,4,1,2,1
774670,1,3,12,4,0,1480,3,1,2,3,1,4,4,66,1,3,3,1,1,1,1
239935,0,4,36,3,9,7980,5,2,4,3,1,4,3,27,3,1,2,3,1,2,1
599006,1,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,1,1
569993,0,1,36,4,2,6229,1,2,4,2,2,4,4,23,3,1,2,2,1,2,1
57292,0,1,9,2,3,1366,1,2,3,2,1,4,2,22,3,1,1,3,1,1,1
503704,1,3,30,4,3,3656,5,5,4,3,1,4,2,49,2,2,2,2,1,1,1
333085,1,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,1
668405,0,4,12,2,0,1386,3,3,2,2,1,2,2,26,3,2,1,3,1,1,1
85445,1,2,8,2,3,1414,1,3,4,3,3,2,1,33,3,2,1,3,1,1,2
366440,0,1,36,2,2,5179,1,4,4,3,1,2,2,29,3,2,1,3,1,1,1
169142,0,1,18,0,2,3114,1,2,1,2,1,4,2,26,3,1,1,3,1,1,1
369409,1,4,24,4,1,4042,5,4,3,3,1,4,2,43,3,2,2,3,1,2,1
596019,1,1,24,2,9,6568,1,3,2,4,1,2,3,21,2,2,1,2,1,1,1
304912,1,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,1,2,1
67751,1,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,1,1,1
529291,0,1,12,2,0,1274,1,2,3,2,1,1,1,37,1,2,1,2,1,1,1
542120,1,3,24,2,2,3749,1,2,2,2,1,4,3,26,3,2,1,3,1,1,1
503927,1,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,1,1,1
150072,1,2,60,3,3,7418,5,3,1,3,1,1,1,27,3,2,1,2,1,1,1
611074,1,2,18,2,6,1239,5,3,4,3,1,4,4,61,3,3,1,3,1,1,1
483560,1,2,30,0,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,1,1,1
126694,0,2,30,4,0,5234,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1
677698,1,4,24,4,3,2611,1,5,4,4,2,3,1,46,3,2,2,3,1,1,1
57315,0,2,6,1,6,433,4,2,4,2,1,2,2,24,1,1,1,3,2,1,1
469710,1,1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,2,2,1
22123,1,2,12,4,0,1995,2,2,4,3,1,1,3,27,3,2,1,3,1,1,1
34792,1,4,6,2,4,1338,3,3,1,1,1,4,1,62,3,2,1,3,1,1,1
86438,0,1,24,1,2,3349,3,2,4,3,1,4,4,30,3,3,1,3,2,2,1
238539,1,4,24,3,9,2375,3,3,4,3,1,2,3,44,3,2,2,3,2,2,1
291792,1,4,12,2,3,804,1,5,4,3,1,4,3,38,3,2,1,3,1,1,1
143970,1,1,10,4,2,2132,5,2,2,2,2,3,1,27,3,1,2,3,1,1,2
124940,1,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1
650603,0,1,18,2,3,3190,1,3,2,2,1,2,1,24,3,2,1,3,1,1,1
766193,0,1,21,2,3,1835,1,3,3,2,1,2,1,25,3,2,2,3,1,2,1
309456,1,2,30,1,2,3496,4,3,4,3,1,2,3,34,2,2,1,3,2,2,1
388388,1,4,9,4,6,1244,5,5,4,2,1,4,2,41,3,1,2,2,1,1,1
287391,0,2,39,4,3,4933,1,4,2,3,3,2,1,25,3,2,2,3,1,1,1
183552,0,1,12,2,6,684,1,3,4,3,1,4,3,40,3,1,1,2,2,1,1
304963,1,2,48,2,3,3979,5,4,4,3,1,1,3,41,3,2,2,3,2,2,1
21611,1,4,18,4,1,3850,1,4,3,3,1,1,3,27,3,2,2,3,1,1,1
45359,1,4,24,2,0,1525,4,4,4,2,1,3,3,34,3,2,1,3,2,2,1
17665,1,2,18,4,3,1795,1,5,3,2,3,4,1,48,1,1,2,2,1,2,1
82335,1,1,21,4,0,571,1,5,4,3,1,4,1,65,3,2,2,3,1,1,1
320625,0,1,18,2,2,1131,1,1,4,2,1,2,3,33,3,2,1,3,1,1,1
521932,1,3,10,4,0,781,1,5,4,3,1,4,4,63,3,3,2,3,1,2,1
319601,1,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1
247116,0,2,12,2,5,639,1,3,4,3,1,2,3,30,3,2,1,3,1,1,1
177509,0,1,24,2,0,3123,1,2,4,2,1,1,2,27,3,2,1,3,1,1,1
467968,0,1,12,2,8,902,1,4,4,4,1,4,2,21,3,1,1,3,1,1,1
612189,0,2,9,4,6,1501,1,5,2,2,1,3,3,34,3,2,2,4,1,2,1
309582,1,4,4,4,0,1455,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1
468510,1,2,15,4,3,2728,5,4,4,3,3,2,1,35,1,2,3,3,1,2,1
504130,0,2,45,2,3,3031,2,3,4,3,3,4,2,21,3,1,1,3,1,1,1
440489,1,2,24,4,1,7758,4,5,2,2,1,4,4,29,3,1,1,3,1,1,1
699140,1,4,6,2,3,1595,1,4,3,3,1,2,2,51,3,2,1,3,2,1,1
339421,1,4,24,4,10,6314,1,1,4,3,2,2,4,27,1,2,2,4,1,2,1
142912,0,2,15,1,0,1264,2,3,2,4,1,2,2,25,3,1,1,3,1,1,1
299842,1,1,47,2,0,10722,1,2,1,2,1,1,1,35,3,2,1,2,1,2,1
18037,0,2,24,2,1,12579,1,5,4,2,1,2,4,44,3,3,1,4,1,2,1
645738,1,4,36,2,0,909,3,5,4,3,1,4,2,36,3,2,1,3,1,1,1
181846,1,4,24,4,3,2578,4,5,2,3,1,2,3,34,3,2,1,3,1,1,1
84381,0,2,60,2,6,6288,1,3,4,3,1,4,4,42,3,3,1,3,1,1,1
450313,0,1,48,0,1,4605,1,5,3,3,1,4,4,24,3,3,2,3,2,1,1
781028,1,4,10,2,0,1546,1,3,3,3,1,2,1,31,3,2,1,2,2,1,2
428075,1,4,13,2,3,1409,2,1,2,2,1,4,1,64,3,2,1,3,1,1,1
584491,0,2,36,2,0,14318,1,5,4,3,1,2,4,57,3,3,1,4,1,2,1
605282,0,1,48,0,2,7119,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1
147875,1,2,18,4,9,3590,1,1,3,4,1,3,3,40,3,2,3,1,2,2,1
692321,1,4,12,4,2,5801,5,5,2,3,1,4,2,49,3,1,1,3,1,2,2
762714,1,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,1,2,1
11761,1,3,6,2,0,709,4,2,2,4,1,2,1,27,3,2,1,1,1,1,2
433757,1,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,2,1,1
365721,1,2,9,2,9,1391,1,3,2,4,1,1,1,27,1,2,1,3,1,2,1
626786,0,4,24,2,3,5943,5,2,1,2,1,1,3,44,3,2,2,3,1,2,1
462490,1,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,1
494100,1,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,1,1,1
480543,1,1,12,2,2,1620,1,3,2,2,2,3,2,30,3,2,1,3,1,1,1
646923,1,1,12,2,2,3590,1,3,2,3,2,2,2,29,3,2,1,2,2,1,1
664571,1,4,15,4,3,1360,1,3,4,3,1,2,2,31,3,2,2,3,1,1,1
412710,1,4,12,2,3,3059,4,4,2,1,1,4,1,61,3,2,1,2,1,1,1
19587,0,2,24,2,3,2039,1,2,1,4,1,1,2,22,3,2,1,3,1,2,1
360492,0,1,18,2,3,2600,1,3,4,3,1,4,4,65,3,3,2,3,1,1,1
513680,1,4,24,3,1,4679,1,4,3,3,1,3,3,35,3,2,2,2,1,2,1
480291,0,1,24,2,0,4817,1,4,2,3,2,3,2,31,3,2,1,3,1,2,1
701687,0,1,6,4,2,3384,1,3,1,1,1,4,1,44,3,1,1,4,1,2,1
714521,1,4,9,4,0,1224,1,3,3,3,1,1,1,30,3,2,2,3,1,1,1
459117,0,1,48,2,4,3051,1,3,3,3,1,4,3,54,3,2,1,3,1,1,1
46222,1,1,6,4,3,338,3,5,4,3,1,4,3,52,3,2,2,3,1,1,1
555933,1,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,1,2,1
347112,0,1,24,2,0,1285,5,4,4,2,1,4,4,32,3,1,1,3,1,1,1
140804,1,4,24,2,3,1311,2,4,4,4,1,3,2,26,3,2,1,3,1,2,1
373824,1,4,10,2,8,894,5,4,4,2,1,3,2,40,3,2,1,3,1,2,1
156231,1,4,15,2,3,1979,5,5,4,3,1,2,3,35,3,2,1,3,1,1,1
365397,1,4,24,4,1,2346,1,4,4,3,1,3,3,35,3,2,2,3,1,2,1
409556,1,1,24,4,1,2957,1,5,4,3,1,4,2,63,3,2,2,3,1,2,1
316309,1,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,2,1,1
7007,1,2,11,4,0,1322,4,3,4,2,1,4,3,40,3,2,2,3,1,1,1
318282,1,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,1,1,1
505,0,2,12,2,2,2762,5,5,1,2,1,2,2,25,3,2,1,3,1,2,1
669514,0,2,24,2,3,3092,2,2,3,4,1,2,3,22,3,1,1,3,1,2,1
720562,1,4,24,2,0,3757,1,5,4,2,2,4,4,62,3,3,1,3,1,2,1
751483,0,3,24,4,0,1344,5,4,4,3,1,2,1,37,1,2,2,2,2,1,1
465249,1,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,1,1,1
236645,1,4,12,4,2,1402,3,4,3,2,1,4,3,37,3,1,1,3,1,2,1
